AS,IPv4_Num
AS721,74888448
AS16509,46941696
AS396982,27870208
AS37963,20486912
AS14618,17123072
AS20940,15832064
AS15169,13919488
AS45090,12122368
AS1239,12070912
AS786,7320832
AS45102,6142976
AS16625,5865728
AS4780,4980736
AS36351,4709888
AS2527,4352512
AS16276,4344832
AS9304,4271616
AS2497,4001280
AS9919,3309824
AS4755,3119104
AS31898,2987008
AS35916,2974976
AS14061,2911744
AS19527,2785024
AS51964,2715904
AS13335,2508032
AS24940,2420736
AS18779,2281984
AS132203,2245376
AS559,2184192
AS45629,2128128
AS7385,1688320
AS6461,1600256
AS26496,1510656
AS6535,1475072
AS4694,1439488
AS8220,1381120
AS6181,1378816
AS134548,1335040
AS984,1304576
AS5006,1242624
AS23201,1231616
AS9009,1219072
AS4010,1174784
AS20473,1169408
AS55990,1158400
AS17429,1156352
AS37518,1116160
AS58593,1099776
AS46887,1057792
AS8426,1028608
AS17378,1019904
AS7497,976896
AS54600,952064
AS13649,951296
AS63949,946944
AS21859,892672
AS328608,878080
AS9583,875776
AS15830,865024
AS9802,851968
AS4750,838400
AS8987,824064
AS46606,813568
AS33070,805888
AS5430,793088
AS20055,763136
AS36352,762880
AS18747,751872
AS4618,751360
AS5413,745984
AS13768,717312
AS9381,711936
AS14265,702976
AS40065,698624
AS139646,696320
AS136907,678144
AS30999,668160
AS3302,648960
AS8560,641792
AS17908,640512
AS8100,633088
AS395954,626944
AS58519,617216
AS4058,615680
AS12552,612864
AS62904,602112
AS6939,599552
AS8851,599552
AS7522,594944
AS32475,594176
AS6453,592896
AS8473,589568
AS13237,564736
AS49505,560896
AS12876,544768
AS19994,539392
AS37130,531200
AS54113,526848
AS7693,515072
AS60781,495360
AS58461,493056
AS1836,491776
AS132839,483584
AS398101,452608
AS7671,450560
AS16814,444416
AS137951,442368
AS37611,440576
AS2110,437504
AS8001,437504
AS27715,437248
AS134175,434432
AS4668,434176
AS43754,433152
AS20860,426752
AS212238,426240
AS20928,425984
AS2711,425984
AS38661,417792
AS135354,416256
AS13188,414976
AS9155,411392
AS10143,410880
AS44477,399616
AS13445,399360
AS62240,399360
AS64050,397824
AS12816,395008
AS55286,393984
AS15395,391680
AS51167,387072
AS6122,386816
AS25820,383488
AS8342,379648
AS22616,377856
AS38283,377856
AS17762,367872
AS61317,367872
AS7684,364032
AS38333,358400
AS135629,358144
AS7979,351744
AS17054,351488
AS29802,350720
AS12301,343808
AS17439,341248
AS9370,341248
AS22205,339968
AS136800,333056
AS5578,332800
AS9308,329984
AS54290,328192
AS834,326656
AS10954,320256
AS4826,319232
AS9597,317696
AS27364,316160
AS7160,315648
AS12350,312064
AS4758,311808
AS1237,310016
AS203020,309760
AS82,309248
AS9371,306176
AS11215,301312
AS55933,297984
AS25180,295936
AS46261,295424
AS207990,290816
AS398823,289792
AS61157,288000
AS9723,281856
AS12586,280576
AS23352,280064
AS21769,279808
AS17222,279552
AS36891,278016
AS27357,277504
AS31027,275200
AS18118,274432
AS11320,272384
AS2854,272128
AS47583,269568
AS8569,268800
AS9159,265216
AS32613,263680
AS36384,262656
AS19871,262144
AS38700,262144
AS7925,262144
AS7506,261632
AS54004,259328
AS32244,255744
AS10199,255232
AS20021,254976
AS15180,249856
AS46573,248832
AS1828,239360
AS23005,238592
AS6810,237824
AS15224,236544
AS45753,233472
AS8607,233216
AS1299,226304
AS23576,226304
AS20278,225280
AS2906,219648
AS29066,218624
AS62,218368
AS12025,216576
AS22552,216576
AS8796,212736
AS3267,212224
AS37053,212224
AS53755,212224
AS29838,210688
